user_id,apartment_id,viewed_at,is_wishlisted,call_to_action
2947,5668632955,2024-05-19 22:53:46,y,contact_agent
338,5508874895,2024-05-22 05:16:28,y,shortlisted
4940,5668616269,2024-05-24 13:03:52,n,reported
2402,5509147865,2024-05-28 05:09:07,y,reported
3005,5661938296,2024-05-25 00:36:16,y,shortlisted
4049,5659917379,2024-05-25 17:17:32,y,shortlisted
4493,5668639857,2024-05-18 15:36:13,n,shortlisted
4136,5509183624,2024-05-24 13:25:09,n,shortlisted
2390,5668642823,2024-05-23 17:43:19,y,reported
2339,5648137399,2024-05-28 06:35:43,y,shortlisted
1380,5668617831,2024-05-28 01:00:55,y,contact_agent
3330,5664597484,2024-05-22 03:12:56,n,shortlisted
4906,5668612842,2024-05-24 21:01:10,y,shortlisted
310,5668640336,2024-05-26 20:50:07,y,contact_agent
1045,5668632583,2024-05-26 02:28:51,n,shortlisted
2836,5509152702,2024-05-18 12:46:23,y,contact_agent
3257,5509043590,2024-05-18 16:48:27,y,shortlisted
2463,5509257437,2024-05-18 11:12:31,n,shortlisted
3971,5664595066,2024-05-25 10:41:12,y,reported
4033,5509160905,2024-05-19 19:06:54,n,contact_agent
3732,5664567223,2024-05-19 14:58:24,y,contact_agent
2199,5668629192,2024-05-21 03:22:03,n,contact_agent
34,5508745213,2024-05-18 22:55:50,n,contact_agent
4319,5664579581,2024-05-28 15:36:23,y,contact_agent
269,5659917487,2024-05-21 19:06:14,n,reported
3111,5664566596,2024-05-20 10:34:47,n,reported
1802,5664598334,2024-05-25 20:29:18,n,reported
2834,5509121454,2024-05-19 03:03:28,y,contact_agent
1791,5668225388,2024-05-20 10:34:20,n,shortlisted
3267,5668630218,2024-05-23 22:13:34,y,contact_agent
2582,5664572487,2024-05-27 06:04:52,y,contact_agent
4732,5664568109,2024-05-17 05:03:38,n,shortlisted
1622,5668635116,2024-05-21 14:56:13,y,shortlisted
690,5659898888,2024-05-21 07:02:18,y,contact_agent
2690,5668619448,2024-05-24 11:48:27,y,shortlisted
2166,5664570779,2024-05-25 12:23:24,n,contact_agent
668,5668621259,2024-05-19 13:59:42,n,contact_agent
3288,5664594432,2024-05-26 14:05:50,n,shortlisted
3867,5508776951,2024-05-20 08:25:47,n,reported
1560,5668639841,2024-05-24 23:02:06,y,contact_agent
299,5668621590,2024-05-18 15:32:14,n,shortlisted
2599,5664577062,2024-05-22 12:46:53,y,reported
4102,5668251211,2024-05-27 17:35:59,n,contact_agent
3461,5668616632,2024-05-27 10:16:23,n,reported
835,5668610001,2024-05-28 17:09:47,n,contact_agent
