id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
5668626895,"Studio apartment 2nd St NE, Uhland Terrace NE, Washington, DC 20002",RentLingo,790,USD,2024-05-16 06:56:13,1,2024-05-16 06:56:13
5664597177,Studio apartment 814 Schutte Road,RentLingo,425,USD,2024-05-16 06:35:35,1,2024-05-16 06:35:35
5668626833,"Studio apartment N Scott St, 14th St N, Arlington, VA 22209",RentLingo,1390,USD,2024-05-18 22:58:20,1,2024-05-21 02:47:32
5659918074,Studio apartment 1717 12th Ave,RentLingo,925,USD,2024-05-17 16:18:36,0,2024-05-17 16:18:36
5668626759,"Studio apartment Washington Blvd, N Cleveland St, Arlington",RentLingo,880,USD,2024-05-17 08:47:56,0,2024-05-19 02:36:48
5667891676,0 BR in New York NY 10019,Listanza,2475,USD,2024-05-18 09:02:20,1,2024-05-20 14:08:41
5668627426,Studio apartment 2432 Penmar Ave,RentLingo,1800,USD,2024-05-16 00:32:55,1,2024-05-16 00:32:55
5668626687,"Studio apartment Oak St NW, 16th St NW, Washington, DC 20010",RentLingo,840,USD,2024-05-18 20:18:42,0,2024-05-20 22:02:12
5668610290,Studio apartment 333 Hyde St,RentLingo,1495,USD,2024-05-16 22:11:59,1,2024-05-18 22:06:21
5668627023,"Studio apartment A St SE, 19th St SE, Washington",RentLingo,890,USD,2024-05-18 10:10:06,1,2024-05-18 10:10:06
5668627099,"Studio apartment 15th St SE, Independence Ave SE, Washington DC",RentLingo,990,USD,2024-05-16 16:02:38,1,2024-05-18 17:38:31
5668626548,"Studio apartment Arkansas Ave NW, Varnum St NW, Washington",RentLingo,840,USD,2024-05-16 01:31:43,1,2024-05-16 01:31:43
5664598162,Studio apartment 2326 N 6th Avenue,RentLingo,1795,USD,2024-05-16 09:07:18,1,2024-05-16 09:07:18
5668626900,"Studio apartment Salem Ln NW, 45th St NW, Washington",RentLingo,1090,USD,2024-05-16 19:38:12,1,2024-05-16 19:38:12
5664571820,Studio apartment 57 Taylor Street,RentLingo,1695,USD,2024-05-16 02:07:32,0,2024-05-16 02:07:32
5659276240,Studio Cottage 214,ListedBuy,1560,USD,2024-05-18 01:28:13,1,2024-05-18 22:17:54
5654898031,Studio Cottage 214,RentDigs.com,1560,USD,2024-05-18 23:40:00,1,2024-05-21 10:50:39
5664574876,One BR Spring Ridge Dr,RentLingo,1000,USD,2024-05-18 12:32:47,1,2024-05-18 12:32:47
5668633573,Studio apartment 545 Georgia street 717-723 Sutter Street,RentLingo,950,USD,2024-05-17 09:23:59,1,2024-05-17 09:23:59
5668624220,One BR Falcon Wood Dr,RentLingo,625,USD,2024-05-16 20:48:48,1,2024-05-19 02:09:09
5653564493,One BR Branthurst Dr,RentLingo,600,USD,2024-05-18 09:52:43,1,2024-05-18 09:52:43
5668622178,One BR 501 Chapel Drive,RentLingo,544,USD,2024-05-18 03:41:35,0,2024-05-18 03:41:35
5664567303,One BR Leeward Ct,RentLingo,525,USD,2024-05-18 12:53:58,1,2024-05-18 12:53:58
5664577209,One BR Union Hills,RentLingo,450,USD,2024-05-17 19:46:52,1,2024-05-17 19:46:52
5664574105,One BR Herons Path Pl,RentLingo,750,USD,2024-05-18 13:51:59,1,2024-05-18 13:51:59
5668624126,One BR S. Pond Court,RentLingo,2000,USD,2024-05-18 04:47:04,0,2024-05-18 04:47:04
5668624017,One BR Arballo Dr 12d,RentLingo,1400,USD,2024-05-16 18:44:09,1,2024-05-16 18:44:09
5668624367,One BR Elias Way,RentLingo,1095,USD,2024-05-17 07:24:37,1,2024-05-17 07:24:37
5664570217,One BR W. Ken Caryl Place #d,RentLingo,915,USD,2024-05-17 07:53:17,1,2024-05-17 07:53:17
5664574791,One BR Skipjack Ct,RentLingo,900,USD,2024-05-16 23:08:58,0,2024-05-16 23:08:58
5664573949,One BR Windmill Cove Dr,RentLingo,865,USD,2024-05-17 00:09:11,1,2024-05-17 00:09:11
5668619369,One BR Mullica Way,RentLingo,750,USD,2024-05-17 03:18:01,1,2024-05-17 03:18:01
5664570058,One BR East Bates Circle,RentLingo,725,USD,2024-05-18 05:47:57,1,2024-05-18 17:15:04
