id,order_id,user_id,days_since_prior_order,product_id,add_to_cart_order,reordered,order_timestamp,date
12,1988816,40821,13.0,121,9,1,2024-06-07 21:10:09,2024-06-07
13,1988816,40821,13.0,112,10,1,2024-06-07 21:10:09,2024-06-07
14,1988816,40821,13.0,83,16,1,2024-06-07 21:10:09,2024-06-07
15,1988816,40821,13.0,78,18,1,2024-06-07 21:10:09,2024-06-07
16,1988816,40821,13.0,53,19,1,2024-06-07 21:10:09,2024-06-07
17,1988816,40821,13.0,83,21,0,2024-06-07 21:10:09,2024-06-07
18,1988816,40821,13.0,3,22,1,2024-06-07 21:10:09,2024-06-07
19,1988816,40821,13.0,106,23,1,2024-06-07 21:10:09,2024-06-07
20,1988816,40821,13.0,24,25,1,2024-06-07 21:10:09,2024-06-07
21,1988816,40821,13.0,59,27,1,2024-06-07 21:10:09,2024-06-07
22,1988816,40821,13.0,83,32,1,2024-06-07 21:10:09,2024-06-07
29,1281487,123581,11.0,83,2,1,2024-06-07 04:24:09,2024-06-07
30,1281487,123581,11.0,130,3,1,2024-06-07 04:24:09,2024-06-07
31,1281487,123581,11.0,83,6,0,2024-06-07 04:24:09,2024-06-07
44,564963,42098,7.0,52,4,1,2024-06-07 23:34:29,2024-06-07
45,564963,42098,7.0,37,8,1,2024-06-07 23:34:29,2024-06-07
46,564963,42098,7.0,36,9,1,2024-06-07 23:34:29,2024-06-07
47,564963,42098,7.0,49,10,1,2024-06-07 23:34:29,2024-06-07
48,564963,42098,7.0,21,11,1,2024-06-07 23:34:29,2024-06-07
69,1423340,63864,,105,8,0,2024-06-07 09:18:12,2024-06-07
70,1423340,63864,,123,10,0,2024-06-07 09:18:12,2024-06-07
125,1791756,41546,6.0,83,3,1,2024-06-07 03:20:02,2024-06-07
126,1791756,41546,6.0,96,7,0,2024-06-07 03:20:02,2024-06-07
127,1791756,41546,6.0,123,11,1,2024-06-07 03:20:02,2024-06-07
128,1791756,41546,6.0,98,12,0,2024-06-07 03:20:02,2024-06-07
137,1205905,79935,5.0,24,2,0,2024-06-07 05:02:02,2024-06-07
