order_num,order_id,user_id,order_timestamp,total_amount,date
142260,868660,63881,2024-06-06 01:01:34,5.0,2024-06-06
80601,1291106,69458,2024-06-06 20:06:10,9.01,2024-06-06
3081,172012,96414,2024-06-06 19:07:01,12.27,2024-06-06
126329,662564,202801,2024-06-06 02:00:37,20.52,2024-06-06
173762,1504296,180480,2024-06-06 00:55:05,26.21,2024-06-06
71539,267909,65625,2024-06-06 06:20:14,13.26,2024-06-06
25359,1039781,108441,2024-06-06 00:13:32,5.0,2024-06-06
99265,926964,12266,2024-06-06 22:48:33,15.16,2024-06-06
114931,1391760,53855,2024-06-06 13:35:40,15.82,2024-06-06
138620,666836,150735,2024-06-06 04:38:30,17.79,2024-06-06
99738,328290,60768,2024-06-06 17:18:05,33.54,2024-06-06
144797,258776,121291,2024-06-06 12:40:46,7.31,2024-06-06
87116,1376373,140763,2024-06-06 10:03:41,8.97,2024-06-06
75615,600558,71698,2024-06-06 13:08:33,16.22,2024-06-06
43026,1790810,63191,2024-06-06 03:06:59,6.84,2024-06-06
10183,596408,203004,2024-06-06 17:20:54,5.0,2024-06-06
122016,74614,124417,2024-06-06 04:42:18,22.8,2024-06-06
91114,1299520,142500,2024-06-06 23:12:49,8.54,2024-06-06
38435,1790961,191592,2024-06-06 13:54:10,26.42,2024-06-06
168418,274398,67887,2024-06-06 16:00:28,12.91,2024-06-06
142059,441134,88180,2024-06-06 08:12:01,5.0,2024-06-06
105114,1572312,3794,2024-06-06 00:11:33,47.71,2024-06-06
32326,1524032,191453,2024-06-06 01:12:47,5.0,2024-06-06
196324,7582,50299,2024-06-06 10:10:34,14.46,2024-06-06
135634,293898,17025,2024-06-06 11:03:28,32.08,2024-06-06
159183,344725,51847,2024-06-06 14:32:18,5.0,2024-06-06
22525,229752,21717,2024-06-06 10:13:33,50.0,2024-06-06
149313,370806,175200,2024-06-06 02:25:07,46.21,2024-06-06
92103,1204440,55456,2024-06-06 06:16:23,5.0,2024-06-06
31626,1685027,146613,2024-06-06 16:41:12,6.41,2024-06-06
85790,1947075,37701,2024-06-06 16:44:59,18.7,2024-06-06
117165,1401791,7942,2024-06-06 06:01:56,5.0,2024-06-06
1154,963031,101603,2024-06-06 16:25:58,29.47,2024-06-06
92101,830311,105643,2024-06-06 08:14:39,5.0,2024-06-06
43889,1482904,124387,2024-06-06 21:38:35,5.0,2024-06-06
7630,694089,60240,2024-06-06 11:49:43,6.92,2024-06-06
53545,922569,97729,2024-06-06 03:12:48,5.0,2024-06-06
94545,894955,198645,2024-06-06 04:19:39,11.55,2024-06-06
153946,1493455,140828,2024-06-06 18:44:22,35.76,2024-06-06
155945,132696,67377,2024-06-06 04:28:20,8.62,2024-06-06
159947,1160688,194738,2024-06-06 03:56:32,33.12,2024-06-06
142909,874532,80323,2024-06-06 23:57:27,16.06,2024-06-06
85609,1774722,172153,2024-06-06 08:49:11,8.46,2024-06-06
43695,769867,196014,2024-06-06 05:52:58,7.24,2024-06-06
162545,604589,159608,2024-06-06 02:46:36,5.0,2024-06-06
158359,1361769,6873,2024-06-06 00:14:07,14.04,2024-06-06
26827,625500,126002,2024-06-06 18:00:01,15.28,2024-06-06
36390,1583135,166916,2024-06-06 18:44:29,16.95,2024-06-06
159136,933220,126649,2024-06-06 07:48:37,5.0,2024-06-06
71518,2255,201022,2024-06-06 03:28:23,14.39,2024-06-06
152273,279694,27291,2024-06-06 21:44:48,5.0,2024-06-06
107360,802437,85275,2024-06-06 23:05:52,29.42,2024-06-06
105015,1178803,174281,2024-06-06 06:52:16,18.83,2024-06-06
171551,561424,108989,2024-06-06 09:43:48,16.0,2024-06-06
80896,1971374,77710,2024-06-06 14:07:12,5.0,2024-06-06
66060,1905809,180551,2024-06-06 02:26:44,15.1,2024-06-06
194973,1963919,76482,2024-06-06 18:04:36,9.01,2024-06-06
151164,147798,104893,2024-06-06 01:22:40,5.0,2024-06-06
145668,1301452,115947,2024-06-06 07:30:38,5.0,2024-06-06
135259,499109,171570,2024-06-06 14:32:09,50.0,2024-06-06
97572,837128,182154,2024-06-06 15:21:37,7.67,2024-06-06
38063,1627987,204973,2024-06-06 03:03:06,48.25,2024-06-06
135458,1099312,87910,2024-06-06 19:39:53,5.94,2024-06-06
94791,1596102,86395,2024-06-06 03:25:24,26.38,2024-06-06
98710,335266,182209,2024-06-06 04:45:25,25.16,2024-06-06
98270,632002,158102,2024-06-06 05:26:05,10.95,2024-06-06
76698,1748461,178911,2024-06-06 23:39:30,44.35,2024-06-06
180109,4520,11953,2024-06-06 08:13:27,6.33,2024-06-06
102742,927370,5360,2024-06-06 17:08:55,31.52,2024-06-06
75664,155369,167396,2024-06-06 04:05:59,11.16,2024-06-06
150785,1184082,65147,2024-06-06 12:44:21,5.0,2024-06-06
36403,863406,175639,2024-06-06 23:32:55,9.04,2024-06-06
76877,347977,17277,2024-06-06 09:47:37,30.61,2024-06-06
183798,950294,198279,2024-06-06 22:19:24,5.29,2024-06-06
2936,786353,109206,2024-06-06 00:13:37,10.1,2024-06-06
173356,1313159,12176,2024-06-06 07:16:49,9.83,2024-06-06
75509,1549242,139963,2024-06-06 00:40:47,9.61,2024-06-06
179516,648638,110033,2024-06-06 08:53:41,6.82,2024-06-06
69164,1488314,172222,2024-06-06 13:14:05,15.34,2024-06-06
163164,491051,206107,2024-06-06 19:43:51,50.0,2024-06-06
14744,379776,189275,2024-06-06 00:56:10,12.53,2024-06-06
125932,1095685,47076,2024-06-06 22:53:42,28.81,2024-06-06
72198,317801,84038,2024-06-06 10:23:55,5.0,2024-06-06
174514,1020902,113299,2024-06-06 05:42:10,5.71,2024-06-06
166386,269066,28035,2024-06-06 02:49:30,5.0,2024-06-06
151470,1986432,63808,2024-06-06 07:56:24,5.04,2024-06-06
139659,74836,57230,2024-06-06 05:21:46,9.54,2024-06-06
112164,1413509,12623,2024-06-06 15:59:27,14.53,2024-06-06
132611,1557125,50568,2024-06-06 15:39:16,16.52,2024-06-06
68911,1456087,74516,2024-06-06 13:05:01,49.96,2024-06-06
155536,225894,157304,2024-06-06 02:58:20,9.01,2024-06-06
190961,210786,190319,2024-06-06 23:16:27,16.27,2024-06-06
13510,1943527,175072,2024-06-06 03:38:28,5.0,2024-06-06
166199,1031960,85997,2024-06-06 01:02:43,25.79,2024-06-06
121015,1904380,161084,2024-06-06 04:56:32,5.0,2024-06-06
47033,138728,137725,2024-06-06 09:31:44,20.66,2024-06-06
6685,1818201,21181,2024-06-06 20:18:19,5.0,2024-06-06
56880,1514574,129962,2024-06-06 21:34:00,19.43,2024-06-06
84433,823270,167547,2024-06-06 20:32:15,8.13,2024-06-06
38744,1665290,179460,2024-06-06 09:54:42,7.32,2024-06-06
87190,1963494,167932,2024-06-06 10:58:51,5.0,2024-06-06
191259,504500,136124,2024-06-06 01:17:26,34.52,2024-06-06
146578,1549409,155542,2024-06-06 20:09:29,46.99,2024-06-06
76598,1038101,37804,2024-06-06 09:18:42,9.45,2024-06-06
42247,1931766,76537,2024-06-06 03:59:20,11.11,2024-06-06
145036,1953670,56102,2024-06-06 11:31:39,12.08,2024-06-06
141128,81235,128305,2024-06-06 23:18:07,5.0,2024-06-06
41385,432959,181310,2024-06-06 02:00:11,24.96,2024-06-06
174421,867835,90498,2024-06-06 15:50:54,5.0,2024-06-06
174605,325561,76005,2024-06-06 22:49:15,5.0,2024-06-06
116514,1675139,60149,2024-06-06 15:51:47,17.07,2024-06-06
141683,702665,37437,2024-06-06 03:23:57,5.0,2024-06-06
95652,1529763,69434,2024-06-06 11:22:56,24.15,2024-06-06
50178,1377996,90575,2024-06-06 05:30:06,19.28,2024-06-06
1301,754751,55423,2024-06-06 21:33:37,6.88,2024-06-06
23520,755334,113657,2024-06-06 08:09:09,7.28,2024-06-06
97397,10595,138518,2024-06-06 04:46:23,43.43,2024-06-06
32767,1893432,105464,2024-06-06 04:40:07,13.6,2024-06-06
169727,775805,194629,2024-06-06 14:30:31,11.63,2024-06-06
82627,1136770,107996,2024-06-06 11:42:45,11.6,2024-06-06
160988,1127879,92234,2024-06-06 00:29:52,23.01,2024-06-06
184253,994128,194853,2024-06-06 03:53:54,17.54,2024-06-06
16021,609934,54346,2024-06-06 00:29:29,33.59,2024-06-06
159461,845257,60417,2024-06-06 22:32:05,20.2,2024-06-06
41763,1418828,85221,2024-06-06 08:46:40,13.08,2024-06-06
10752,1661247,109206,2024-06-06 06:44:03,24.76,2024-06-06
160776,1917481,103429,2024-06-06 17:10:36,5.0,2024-06-06
4976,1296041,32173,2024-06-06 00:49:58,17.95,2024-06-06
159582,197054,163259,2024-06-06 20:01:09,9.35,2024-06-06
198366,1346520,9682,2024-06-06 08:49:46,5.23,2024-06-06
39588,1639476,144246,2024-06-06 20:24:11,10.26,2024-06-06
112369,1056298,194884,2024-06-06 06:32:42,6.62,2024-06-06
20154,872093,192340,2024-06-06 13:16:43,10.18,2024-06-06
109801,1197716,10009,2024-06-06 22:07:12,13.11,2024-06-06
36855,1261557,10115,2024-06-06 13:19:56,5.0,2024-06-06
155773,1733548,122621,2024-06-06 11:09:12,18.41,2024-06-06
111213,460149,61164,2024-06-06 08:06:54,5.0,2024-06-06
179962,501651,74089,2024-06-06 08:01:52,16.97,2024-06-06
58447,1515746,124687,2024-06-06 13:44:24,13.32,2024-06-06
2750,300124,194842,2024-06-06 01:50:24,5.0,2024-06-06
198642,515208,82810,2024-06-06 22:44:44,11.65,2024-06-06
149538,1780607,136448,2024-06-06 21:23:05,5.72,2024-06-06
111230,2010643,176358,2024-06-06 16:28:24,5.0,2024-06-06
158383,300282,89048,2024-06-06 23:42:23,9.63,2024-06-06
17371,13837,122352,2024-06-06 07:51:36,5.89,2024-06-06
144410,1017551,27639,2024-06-06 05:39:54,7.5,2024-06-06
104807,1960501,70785,2024-06-06 11:15:25,5.0,2024-06-06
113035,1361592,167385,2024-06-06 15:38:56,30.18,2024-06-06
48126,49517,30687,2024-06-06 16:30:55,24.67,2024-06-06
110441,1082812,149279,2024-06-06 21:02:44,5.39,2024-06-06
89557,1296068,20691,2024-06-06 22:46:21,9.22,2024-06-06
114709,1340212,66090,2024-06-06 15:53:45,5.0,2024-06-06
174426,119035,3894,2024-06-06 13:05:37,6.33,2024-06-06
118141,1386976,7522,2024-06-06 00:47:46,35.45,2024-06-06
3058,1228066,182839,2024-06-06 22:49:19,31.26,2024-06-06
10120,1409691,130989,2024-06-06 15:46:04,5.76,2024-06-06
58692,1599211,191489,2024-06-06 20:38:57,14.29,2024-06-06
43804,273995,161967,2024-06-06 06:48:58,13.98,2024-06-06
52987,1624683,9080,2024-06-06 22:58:23,34.67,2024-06-06
10058,1595039,73771,2024-06-06 10:02:26,27.24,2024-06-06
48059,1887013,146971,2024-06-06 04:57:40,8.72,2024-06-06
71876,307188,86993,2024-06-06 08:16:40,16.49,2024-06-06
23704,454496,78608,2024-06-06 21:29:42,5.0,2024-06-06
143727,1418728,49855,2024-06-06 00:27:29,13.44,2024-06-06
124778,1275294,89174,2024-06-06 21:56:00,50.0,2024-06-06
89694,1777237,32684,2024-06-06 13:01:27,7.78,2024-06-06
188806,1652526,142271,2024-06-06 16:03:14,8.61,2024-06-06
103571,1214387,96213,2024-06-06 20:24:04,38.53,2024-06-06
123934,28641,128262,2024-06-06 08:38:11,5.0,2024-06-06
14961,864553,29234,2024-06-06 17:17:11,17.14,2024-06-06
124918,199993,84248,2024-06-06 23:34:21,8.36,2024-06-06
552,1614002,22104,2024-06-06 18:49:41,37.97,2024-06-06
30908,1913978,138674,2024-06-06 15:34:17,50.0,2024-06-06
193464,1574514,51603,2024-06-06 08:17:28,13.03,2024-06-06
