order_num,order_id,user_id,order_timestamp,total_amount,date
142260,868660,63881,2024-06-06 01:01:34,25.0,2024-06-06
80601,1291106,69458,2024-06-06 20:06:10,19.01,2024-06-06
3081,172012,96414,2024-06-06 19:07:01,12.27,2024-06-06
126329,662564,202801,2024-06-06 02:00:37,120.52,2024-06-06
173762,1504296,180480,2024-06-06 00:55:05,26.21,2024-06-06
71539,267909,65625,2024-06-06 06:20:14,83.26,2024-06-06
25359,1039781,108441,2024-06-06 00:13:32,15.0,2024-06-06
99265,926964,12266,2024-06-06 22:48:33,15.16,2024-06-06
114931,1391760,53855,2024-06-06 13:35:40,19.82,2024-06-06
138620,666836,150735,2024-06-06 04:38:30,17.79,2024-06-06
99738,328290,60768,2024-06-06 17:18:05,33.54,2024-06-06
144797,258776,121291,2024-06-06 12:40:46,7.31,2024-06-06
87116,1376373,140763,2024-06-06 10:03:41,8.97,2024-06-06
75615,600558,71698,2024-06-06 13:08:33,16.22,2024-06-06
43026,1790810,63191,2024-06-06 03:06:59,6.84,2024-06-06
10183,596408,203004,2024-06-06 17:20:54,5.0,2024-06-06
122016,74614,124417,2024-06-06 04:42:18,22.8,2024-06-06
91114,1299520,142500,2024-06-06 23:12:49,8.54,2024-06-06
38435,1790961,191592,2024-06-06 13:54:10,26.42,2024-06-06
168418,274398,67887,2024-06-06 16:00:28,12.91,2024-06-06
142059,441134,88180,2024-06-06 08:12:01,15.0,2024-06-06
105114,1572312,3794,2024-06-06 00:11:33,147.71,2024-06-06
32326,1524032,191453,2024-06-06 01:12:47,5.0,2024-06-06
196324,7582,50299,2024-06-06 10:10:34,14.46,2024-06-06
135634,293898,17025,2024-06-06 11:03:28,32.08,2024-06-06
159183,344725,51847,2024-06-06 14:32:18,5.0,2024-06-06
22525,229752,21717,2024-06-06 10:13:33,50.0,2024-06-06
149313,370806,175200,2024-06-06 02:25:07,46.21,2024-06-06
92103,1204440,55456,2024-06-06 06:16:23,5.0,2024-06-06
31626,1685027,146613,2024-06-06 16:41:12,6.41,2024-06-06
85790,1947075,37701,2024-06-06 16:44:59,18.7,2024-06-06
117165,1401791,7942,2024-06-06 06:01:56,5.0,2024-06-06
1154,963031,101603,2024-06-06 16:25:58,29.47,2024-06-06
92101,830311,105643,2024-06-06 08:14:39,5.0,2024-06-06
43889,1482904,124387,2024-06-06 21:38:35,5.0,2024-06-06
7630,694089,60240,2024-06-06 11:49:43,6.92,2024-06-06
53545,922569,97729,2024-06-06 03:12:48,5.0,2024-06-06
94545,894955,198645,2024-06-06 04:19:39,11.55,2024-06-06
153946,1493455,140828,2024-06-06 18:44:22,35.76,2024-06-06
155945,132696,67377,2024-06-06 04:28:20,8.62,2024-06-06
159947,1160688,194738,2024-06-06 03:56:32,33.12,2024-06-06
142909,874532,80323,2024-06-06 23:57:27,16.06,2024-06-06
85609,1774722,172153,2024-06-06 08:49:11,8.46,2024-06-06
43695,769867,196014,2024-06-06 05:52:58,7.24,2024-06-06
162545,604589,159608,2024-06-06 02:46:36,5.0,2024-06-06
158359,1361769,6873,2024-06-06 00:14:07,14.04,2024-06-06
26827,625500,126002,2024-06-06 18:00:01,15.28,2024-06-06
