user_id,track_id,listen_time
23091,6t3gfEIcCItsECklf9vprO,2024-06-25 14:42:54
23452,0xDVPc5W2jYqO6p9NisCI4,2024-06-25 05:28:57
43416,75ezKaQXcv7RVhrCpuRMSD,2024-06-25 10:20:44
2447,65a1ng2xAbaRbYWsq9H2MH,2024-06-25 14:13:22
7141,6jKpXbQ5PxenIvYXp1l7vI,2024-06-25 05:24:12
32937,2X3H4S2XQT9oJU8OHMnnyj,2024-06-25 00:15:23
37770,1c9MeAa2tLEoZl5osXf5Ts,2024-06-25 14:30:54
16465,6kH56e4JT3NwDk9ks5X7EO,2024-06-25 20:59:32
5103,7izpOP3sww7TkqfjmEI1GM,2024-06-25 19:16:01
17485,6u4OZR8Dd6O03QcBTFzyfZ,2024-06-25 07:14:24
14453,2g3afkZqrBxT9RWNSPSWa7,2024-06-25 08:25:38
92,6NmGIj2leVHRKkHEGyechJ,2024-06-25 00:51:20
21036,3P2w3jFuW53PJLw3VP1ruL,2024-06-25 15:02:07
18492,02j3P5NLtFH34LVPLHLk5s,2024-06-25 00:50:16
29503,0hwWynBLFM7jJdxi6D2tMg,2024-06-25 07:43:54
46865,3ebXMykcMXOcLeJ9xZ17XH,2024-06-25 05:59:59
48698,44sz0rNbTA687rs9CYi0IN,2024-06-25 10:30:31
7559,6TW2UaFBGDWxZGY9wW7536,2024-06-25 08:57:28
44173,3CqV5uSdPvj5Ux3E8Idusc,2024-06-25 17:45:38
36712,4hqKKAZzRBZgDUOq1ldo2o,2024-06-25 12:46:00
5612,19VKBRNKSbjXSsx3s7W7lk,2024-06-25 19:09:25
21892,4JRpokvKWTgkxUVfrsGifs,2024-06-25 06:15:11
49638,2rnX4QWY4Wc1TCAZ0wK6yP,2024-06-25 02:46:17
25017,3p7PTLBM9ZLakDzVOqH2Q4,2024-06-25 18:17:54
27150,1jcQ040aWKeiUGJ2IcnFtV,2024-06-25 01:16:49
11022,7iLz34DTToaD3C6V1o5GbH,2024-06-25 11:01:10
22678,0bcAhiuUndMG16WZf5sn1r,2024-06-25 04:11:01
42029,587ctTTmgozFfNlVTCXYJ2,2024-06-25 02:41:50
41824,7hNyAHE2VsZt7gawcaO5Ji,2024-06-25 16:43:54
28387,3IMEE1Goc1XeMlWUlVMqWA,2024-06-25 19:19:39
5296,3eUJpP9sVLaAzADydIRezg,2024-06-25 18:14:51
41309,29Os2E2C9N3mAQxg0NQQjt,2024-06-25 05:35:26
11406,69bdhBcI3aTFA8KhooWBI3,2024-06-25 21:10:43
18254,6gEttabPLI7cC61rCysc1O,2024-06-25 01:06:22
14519,0hkYWyNGwlHuns0sdIKZoX,2024-06-25 23:26:12
29076,3rquyyzec0JKU4UbGga9rP,2024-06-25 22:40:14
27034,5OXPfNGyUDTMOSaGhbAvOr,2024-06-25 00:15:43
867,5maosvba9QkQP14u6vtxog,2024-06-25 20:14:45
34412,2GfuDjHEPDpQMAe4mTgQ49,2024-06-25 21:06:22
4552,3tI3SEykqxq2ielVBTWkpo,2024-06-25 08:43:51
28103,4iQnJ1nbzIqRirVI1Q2ig8,2024-06-25 11:36:20
43316,4LUllPnGoVQ2SjQXtMilAw,2024-06-25 05:04:33
6663,67aGCsZxXg6AxRbPZthY50,2024-06-25 09:15:11
11230,6U9jxxdQ6TNzjshIpwWMTf,2024-06-25 21:12:45
523,7m8A3LgFmtjCKUl83cm4vI,2024-06-25 15:06:15
11536,4rof1QpD8Ah8j6YDUFkBVx,2024-06-25 15:05:05
31490,4v7DCN09hgXkKazefkznDQ,2024-06-25 21:50:44
5646,7840mcgnpkHeYU8jwMdq4n,2024-06-25 11:47:43
24260,7EZC6E7UjZe63f1jRmkWxt,2024-06-25 18:07:59
14992,1KYrhFEG2XJgtd40D9czhb,2024-06-25 03:10:59
39165,10VHztYhhjtQfvzNjlLFbx,2024-06-25 10:10:47
34431,5V2A87G6fD7yIr4FseetwD,2024-06-25 22:05:02
12943,28VC0P6rM7ue8V2QkPBCeW,2024-06-25 21:45:10
29352,7cPYSzsrl6imQkzeO1HZ9b,2024-06-25 17:36:02
46831,54OR1VDpfkBuOY5zZjhZAY,2024-06-25 16:49:38
38976,1k5HnfVKalxb8lt0RJ5xka,2024-06-25 01:51:22
38137,23ScWxX03wsFf1oyi57ouP,2024-06-25 15:26:41
