dropoff_datetime,rate_code,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,trip_type,trip_id
2024-05-25 14:05:00,5.0,0.0,0.1,40.09620692463166,0.0,3.0,2.0,c66ce556bc
2024-05-25 19:15:00,5.0,1.0,0.0,69.12471722003522,0.0,3.0,2.0,f93c901b2d
2024-05-25 05:41:00,1.0,1.0,0.0,47.09790128664532,0.0,1.0,1.0,9ddba1d91a
2024-05-25 17:05:00,1.0,1.0,0.0,77.156183662551,1.4231808570380187,1.0,1.0,cc4db3afb9
2024-05-25 13:39:00,5.0,1.0,0.1,81.4672895553032,0.0,3.0,2.0,f881b97b2c
2024-05-25 06:55:00,5.0,0.0,0.2,27.60365909640262,0.0,3.0,2.0,5bb35a15b3
2024-05-25 16:05:00,1.0,1.0,0.0,78.17447600174671,0.0,1.0,1.0,29c8fa702b
2024-05-25 16:02:00,5.0,1.0,0.2,59.19096487570314,1.650019896321346,3.0,2.0,44afca752e
2024-05-25 15:26:00,5.0,1.0,0.0,83.63038923947852,0.0,3.0,2.0,2f9beadf3f
2024-05-25 06:19:00,5.0,1.0,3.8,92.01196525612617,0.0,3.0,2.0,5c0db5de48
2024-05-25 18:07:00,1.0,1.0,0.0,49.10928008470749,1.69131339417227,1.0,1.0,e92f5128c3
2024-05-25 03:00:00,5.0,1.0,0.1,47.430596834118916,2.2949134440161423,3.0,2.0,5550548848
2024-05-25 10:14:00,5.0,1.0,0.1,50.29918378895629,0.0,3.0,2.0,ff2174e13a
2024-05-25 02:31:00,5.0,1.0,0.0,70.97227383577928,3.6114084865223006,2.0,2.0,88c13d04a2
2024-05-25 06:53:00,5.0,1.0,0.1,48.56831748683765,0.0,3.0,2.0,4f6cbe6c52
2024-05-25 21:33:00,5.0,1.0,0.1,49.5990344340499,0.0,3.0,2.0,99d89d26ec
2024-05-25 16:10:00,5.0,1.0,0.1,26.122931188679956,3.7031732534576265,3.0,2.0,d3cef4d940
2024-05-25 11:41:00,5.0,1.0,0.0,83.26166718058533,0.0,4.0,2.0,a9d16621bd
2024-05-25 11:39:00,1.0,1.0,0.0,73.594095168875,4.246923688360784,1.0,1.0,338df7e905
2024-05-25 04:36:00,5.0,1.0,0.1,63.10282248495752,1.5005523172054378,3.0,2.0,b6412eb634
2024-05-25 06:23:00,5.0,1.0,9.3,60.90903449878497,4.6836986854506515,3.0,2.0,dbb1ce4110
2024-05-25 12:37:00,5.0,1.0,0.2,57.10192693340182,0.0,3.0,2.0,779fea1b33
2024-05-25 16:23:00,5.0,0.0,0.1,88.1930455168006,0.0,3.0,2.0,99394031db
2024-05-25 15:32:00,5.0,1.0,0.3,34.76925926968586,1.1124064244759269,3.0,2.0,3173be614e
2024-05-25 07:28:00,5.0,1.0,0.3,76.67689390562005,0.0,3.0,2.0,fabfe2ac6e
2024-05-25 23:03:00,5.0,1.0,0.4,54.29051264839702,2.1231287177007228,3.0,2.0,83d0d3be52
2024-05-25 00:57:00,5.0,1.0,0.1,91.40179823233042,4.769425611591979,3.0,2.0,a5c2761040
2024-05-25 05:01:00,1.0,1.0,0.0,91.57172288466519,0.0,1.0,1.0,414aafd3bc
2024-05-25 01:01:00,5.0,1.0,3.5,61.40088112668333,0.0,2.0,2.0,01a62ce9e2
2024-05-25 23:16:00,1.0,1.0,0.0,51.65775508451746,0.0,1.0,1.0,20ef74c220
2024-05-25 07:34:00,5.0,2.0,7.7,79.09111213114781,4.642005237752796,2.0,2.0,afa4628160
2024-05-25 03:10:00,1.0,1.0,0.0,69.16803349525128,0.0,1.0,1.0,b1c3c6d5e7
2024-05-25 13:38:00,5.0,1.0,0.1,58.423452429403724,0.0,3.0,2.0,a835d245b6
2024-05-25 21:29:00,5.0,1.0,0.1,85.6615764824235,4.233342700741529,3.0,2.0,62b08ec66f
2024-05-25 17:11:00,5.0,1.0,0.3,11.67153145137879,0.0,3.0,2.0,22a627da4f
2024-05-25 11:25:00,5.0,1.0,0.1,62.12557634888724,0.0,3.0,2.0,d6965bd426
2024-05-25 14:06:00,1.0,1.0,0.0,78.79786359596821,0.0,1.0,1.0,965ea1ebcf
2024-05-25 11:53:00,5.0,1.0,0.0,40.12412904464809,0.0,2.0,1.0,db78bcb223
2024-05-25 13:35:00,5.0,1.0,4.2,34.71760849111183,2.5337806147921733,2.0,2.0,a672a6663c
2024-05-25 01:34:00,5.0,1.0,0.4,22.94931642332626,0.0,3.0,2.0,26a26065fa
2024-05-25 06:24:00,5.0,0.0,0.2,23.22567646479389,0.0,3.0,2.0,d9e30297c0
2024-05-25 13:58:00,5.0,1.0,3.9,74.35276146154224,0.0,3.0,2.0,04638e1253
2024-05-25 20:47:00,5.0,1.0,0.0,48.34187528827477,0.0,3.0,2.0,e7346266fb
2024-05-25 02:04:00,5.0,1.0,0.0,21.53670726477334,0.0,3.0,2.0,b68ad6d643
2024-05-25 14:17:00,1.0,1.0,0.0,22.98095971367687,1.024670061631081,1.0,1.0,cd1dd150a7
2024-05-25 04:55:00,5.0,1.0,1.0,10.562649469280881,0.0,3.0,2.0,edc15ef067
2024-05-25 18:33:00,5.0,1.0,0.1,23.152146622637304,0.0,3.0,2.0,0dc6120ed5
2024-05-25 02:01:00,1.0,1.0,0.0,46.0749618721168,0.0,1.0,1.0,663d537648
2024-05-25 22:50:00,5.0,1.0,0.1,34.66491395448277,3.2505717010673316,3.0,2.0,0f057ebc8c
2024-05-25 19:05:00,5.0,1.0,11.6,82.53602255603984,4.054932100553064,3.0,2.0,14519ccea8
2024-05-25 22:14:00,5.0,1.0,0.6,97.30459448802175,0.0,3.0,2.0,8df313ac97
2024-05-25 12:18:00,5.0,1.0,0.0,10.156822524964902,0.0,3.0,2.0,a8ae5f00c6
2024-05-25 05:21:00,5.0,1.0,0.0,38.4069641136887,0.0,2.0,1.0,d2ff6dce8b
2024-05-25 03:02:00,5.0,1.0,0.1,91.81363650015146,0.0,3.0,2.0,7e9604f7cf
2024-05-25 05:10:00,1.0,1.0,5.3,48.18646900192436,0.0,4.0,1.0,4e1cfd57f1
2024-05-25 06:52:00,5.0,2.0,1.6,58.041479641337624,2.3704536570230097,1.0,2.0,1f72991777
2024-05-25 04:35:00,5.0,5.0,1.3,26.330137874101922,0.0,2.0,2.0,9babf4d56c
2024-05-25 21:11:00,5.0,1.0,5.3,60.09325924036263,0.0,2.0,2.0,2b41ed8749
2024-05-25 11:21:00,5.0,0.0,0.0,22.57123412451237,0.0,3.0,2.0,7eb9e04dc3
2024-05-25 19:00:00,1.0,1.0,0.0,17.703681660503317,3.8593840041981826,1.0,1.0,ac0439bc61
2024-05-25 13:26:00,5.0,1.0,16.6,48.303987700314956,0.0,2.0,2.0,b3c864d7bd
2024-05-25 01:16:00,1.0,1.0,0.0,66.35923300380449,3.4230374202876748,1.0,1.0,1fef5e4ca9
2024-05-25 17:47:00,5.0,1.0,2.9,40.19799166685637,0.0,4.0,2.0,b9076056ce
2024-05-25 08:20:00,1.0,1.0,0.0,89.21738412808816,0.0,1.0,1.0,b7dc25df99
2024-05-25 09:50:00,1.0,1.0,0.0,99.2974180469847,0.0,1.0,1.0,c17b1af4f0
2024-05-25 03:56:00,5.0,1.0,0.0,75.6068422427816,0.0,2.0,2.0,4713240709
2024-05-25 23:53:00,1.0,1.0,0.0,81.3672718649928,0.0,1.0,1.0,8d3e3e5aa0
2024-05-25 13:16:00,1.0,1.0,0.0,50.10882911188922,0.0,1.0,1.0,f2e9486bd9
2024-05-25 21:24:00,1.0,1.0,0.0,90.3744774978283,0.0,1.0,1.0,e48083cd58
2024-05-25 11:10:00,1.0,1.0,0.0,96.40687319101514,0.0,1.0,1.0,d93640e0bb
2024-05-25 05:13:00,5.0,3.0,5.2,78.76856053646716,0.0,2.0,2.0,153f95920d
2024-05-25 06:26:00,1.0,1.0,0.0,98.18129921059483,3.164114600994263,1.0,1.0,3d2d8f534e
2024-05-25 13:18:00,1.0,1.0,0.0,20.26730463934644,4.632675644132188,2.0,1.0,8cd5426bb0
2024-05-25 20:07:00,5.0,5.0,1.1,48.83907014303812,4.532407141966918,3.0,2.0,5ab3d7d589
2024-05-25 13:23:00,5.0,0.0,0.3,80.12782692520064,0.0,3.0,2.0,a7f8c74ecd
2024-05-25 02:14:00,5.0,1.0,0.6,84.05918109595969,0.0,2.0,2.0,b513687762
2024-05-26 00:08:00,5.0,1.0,8.2,39.28409244790977,0.0,2.0,2.0,f3a9a12e90
2024-05-25 09:35:00,5.0,1.0,0.0,33.66638545936074,1.0876120224801848,3.0,2.0,6aa10417c6
2024-05-25 17:44:00,5.0,4.0,0.2,65.29565465338139,4.7330842483251185,3.0,2.0,dace037ad7
