trip_id,pickup_location_id,dropoff_location_id,vendor_id,pickup_datetime,estimated_dropoff_datetime,estimated_fare_amount
c66ce556bc,93,93,1,2024-05-25 13:19:00,2024-05-25 14:03:00,34.18595283806629
f93c901b2d,247,247,1,2024-05-25 18:32:00,2024-05-25 19:15:00,69.12471722003522
9ddba1d91a,7,193,2,2024-05-25 05:17:00,2024-05-25 05:37:00,47.09790128664532
cc4db3afb9,193,193,2,2024-05-25 16:16:00,2024-05-25 17:02:00,66.54630432611239
f881b97b2c,93,93,1,2024-05-25 12:43:00,2024-05-25 13:39:00,69.30909068361248
5bb35a15b3,93,93,1,2024-05-25 06:17:00,2024-05-25 06:51:00,24.42480389659721
29c8fa702b,193,193,2,2024-05-25 15:50:00,2024-05-25 16:01:00,78.17447600174671
44afca752e,93,93,1,2024-05-25 15:18:00,2024-05-25 16:00:00,59.19096487570314
2f9beadf3f,93,93,1,2024-05-25 14:38:00,2024-05-25 15:23:00,73.09247608270584
5c0db5de48,93,93,1,2024-05-25 05:38:00,2024-05-25 06:17:00,92.01196525612617
e92f5128c3,193,193,2,2024-05-25 17:15:00,2024-05-25 18:07:00,49.10928008470749
5550548848,93,93,1,2024-05-25 02:13:00,2024-05-25 03:00:00,47.430596834118916
ff2174e13a,93,93,1,2024-05-25 09:28:00,2024-05-25 10:11:00,50.29918378895629
88c13d04a2,93,93,1,2024-05-25 01:37:00,2024-05-25 02:29:00,70.97227383577928
4f6cbe6c52,93,93,1,2024-05-25 06:20:00,2024-05-25 06:49:00,48.56831748683765
99d89d26ec,92,92,1,2024-05-25 21:09:00,2024-05-25 21:28:00,49.5990344340499
d3cef4d940,93,93,1,2024-05-25 15:43:00,2024-05-25 16:10:00,26.122931188679956
a9d16621bd,42,42,1,2024-05-25 11:31:00,2024-05-25 11:41:00,83.26166718058533
338df7e905,193,193,2,2024-05-25 11:13:00,2024-05-25 11:34:00,73.594095168875
b6412eb634,93,93,1,2024-05-25 04:02:00,2024-05-25 04:33:00,63.10282248495752
dbb1ce4110,56,56,1,2024-05-25 05:52:00,2024-05-25 06:21:00,52.69673237428056
779fea1b33,93,93,1,2024-05-25 11:50:00,2024-05-25 12:34:00,57.10192693340182
99394031db,57,173,1,2024-05-25 15:24:00,2024-05-25 16:23:00,88.1930455168006
3173be614e,93,93,1,2024-05-25 14:35:00,2024-05-25 15:28:00,30.05112829380671
fabfe2ac6e,93,134,1,2024-05-25 06:41:00,2024-05-25 07:25:00,65.88747962409799
83d0d3be52,134,197,1,2024-05-25 22:47:00,2024-05-25 23:01:00,54.29051264839702
a5c2761040,216,10,1,2024-05-25 00:16:00,2024-05-25 00:54:00,81.98894905243269
414aafd3bc,137,61,1,2024-05-25 04:35:00,2024-05-25 04:59:00,91.57172288466519
01a62ce9e2,244,168,1,2024-05-25 00:44:00,2024-05-25 01:01:00,61.40088112668333
20ef74c220,264,264,2,2024-05-25 22:47:00,2024-05-25 23:16:00,45.31972028383595
afa4628160,70,173,1,2024-05-25 06:42:00,2024-05-25 07:34:00,67.62041366996792
b1c3c6d5e7,193,193,2,2024-05-25 02:11:00,2024-05-25 03:05:00,69.16803349525128
a835d245b6,93,93,1,2024-05-25 13:08:00,2024-05-25 13:38:00,58.423452429403724
