order_id,user_id,status,created_at,returned_at,shipped_at,delivered_at,num_of_item
5046,3970,Shipped,2024-06-01 08:04:26.659598 UTC,,2024-06-03 04:54:26.659598 UTC,,1
91960,73625,Shipped,2024-06-02 12:36:00 UTC,,2024-06-04 04:13:00 UTC,,1
103852,83058,Shipped,2024-06-02 00:42:10.609954 UTC,,2024-06-03 22:18:10.609954 UTC,,1
108706,86957,Shipped,2024-06-01 18:58:08.121699 UTC,,2024-06-03 01:33:08.121699 UTC,,1
38198,30550,Shipped,2024-06-02 15:33:00 UTC,,2024-06-03 19:33:00 UTC,,1
24916,19863,Shipped,2024-06-02 10:37:00 UTC,,2024-06-03 05:55:00 UTC,,1
30657,24502,Shipped,2024-06-01 12:44:00 UTC,,2024-06-03 16:19:00 UTC,,1
30842,24643,Shipped,2024-06-02 18:37:58.07505 UTC,,2024-06-05 12:45:58.07505 UTC,,1
50018,39993,Shipped,2024-06-01 03:57:00 UTC,,2024-06-02 10:01:00 UTC,,1
66324,53005,Shipped,2024-06-02 06:34:13.760304 UTC,,2024-06-04 19:30:13.760304 UTC,,1
83444,66753,Shipped,2024-06-02 11:34:55.496898 UTC,,2024-06-04 05:14:55.496898 UTC,,1
35600,28454,Shipped,2024-06-02 17:10:00 UTC,,2024-06-03 21:58:00 UTC,,1
44153,35322,Shipped,2024-06-02 13:14:00 UTC,,2024-06-04 12:44:00 UTC,,1
82659,66146,Shipped,2024-06-02 10:58:00 UTC,,2024-06-02 17:07:00 UTC,,1
103380,82669,Shipped,2024-06-02 17:38:00 UTC,,2024-06-04 18:57:00 UTC,,1
13154,10426,Shipped,2024-06-01 02:59:00 UTC,,2024-06-03 17:07:00 UTC,,1
21674,17292,Shipped,2024-06-02 04:31:07.300721 UTC,,2024-06-03 01:21:07.300721 UTC,,1
27525,21978,Shipped,2024-06-01 10:52:00 UTC,,2024-06-01 19:11:00 UTC,,1
35808,28610,Shipped,2024-06-01 01:41:00 UTC,,2024-06-01 08:59:00 UTC,,1
123796,99082,Shipped,2024-06-01 03:34:00 UTC,,2024-06-02 15:54:00 UTC,,1
9789,7723,Shipped,2024-06-02 07:00:00 UTC,,2024-06-04 13:07:00 UTC,,1
27702,22108,Shipped,2024-06-02 10:52:00 UTC,,2024-06-03 11:59:00 UTC,,1
70365,56215,Shipped,2024-06-02 09:12:00 UTC,,2024-06-03 00:39:00 UTC,,1
106726,85398,Shipped,2024-06-01 01:01:00 UTC,,2024-06-03 07:47:00 UTC,,1
2112,1676,Shipped,2024-06-02 03:00:00 UTC,,2024-06-04 05:04:00 UTC,,1
68088,54394,Shipped,2024-06-02 04:09:00 UTC,,2024-06-03 04:18:00 UTC,,1
101089,80821,Shipped,2024-06-01 11:38:00 UTC,,2024-06-02 01:30:00 UTC,,1
8624,6805,Shipped,2024-06-01 09:36:00 UTC,,2024-06-03 01:39:00 UTC,,1
75480,60404,Shipped,2024-06-02 14:45:50.128765 UTC,,2024-06-04 18:46:50.128765 UTC,,1
110073,88000,Shipped,2024-06-01 07:59:00 UTC,,2024-06-03 13:17:00 UTC,,1
110832,88611,Shipped,2024-06-02 11:35:00 UTC,,2024-06-04 00:31:00 UTC,,1
17431,13858,Shipped,2024-06-01 15:32:00 UTC,,2024-06-03 02:28:00 UTC,,1
19458,15494,Shipped,2024-06-02 05:41:13.720268 UTC,,2024-06-02 09:09:13.720268 UTC,,1
103269,82580,Shipped,2024-06-01 09:32:00 UTC,,2024-06-04 05:21:00 UTC,,1
2327,1836,Shipped,2024-06-02 11:54:22.342929 UTC,,2024-06-03 23:48:22.342929 UTC,,1
89558,71654,Shipped,2024-06-02 14:47:00 UTC,,2024-06-04 11:06:00 UTC,,1
96023,76842,Shipped,2024-06-01 06:39:00 UTC,,2024-06-03 18:10:00 UTC,,1
97399,77950,Shipped,2024-06-01 15:37:00 UTC,,2024-06-02 11:19:00 UTC,,1
118829,95122,Shipped,2024-06-02 15:46:00 UTC,,2024-06-04 18:49:00 UTC,,1
121987,97642,Shipped,2024-06-02 13:11:00 UTC,,2024-06-04 15:01:00 UTC,,1
34579,27636,Shipped,2024-06-02 15:23:27.649093 UTC,,2024-06-02 19:25:27.649093 UTC,,1
107233,85768,Shipped,2024-06-01 12:12:00 UTC,,2024-06-04 09:11:00 UTC,,1
