id,order_id,user_id,product_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
59200,40811,32676,479,Shipped,2024-06-02 07:39:52 UTC,2024-06-02 11:35:00 UTC,,,80
59201,40811,32676,7409,Shipped,2024-06-01 09:40:43 UTC,2024-06-02 11:35:00 UTC,,,79.949996948242173
31488,21726,17335,25028,Shipped,2024-06-01 07:30:05 UTC,2024-06-01 23:42:00 UTC,,,49.950000762939446
66636,45910,36735,27019,Shipped,2024-06-01 07:52:12 UTC,2024-06-03 12:35:00 UTC,,,48.950000762939446
68081,46913,37524,24931,Shipped,2024-06-03 03:19:35 UTC,2024-06-01 10:18:00 UTC,,,30.479999542236328
68080,46913,37524,16862,Shipped,2024-06-04 06:25:54 UTC,2024-06-01 10:18:00 UTC,,,39.5
66077,45512,36418,19252,Shipped,2024-06-01 07:59:09 UTC,2024-06-01 15:29:00 UTC,,,42
140165,96419,77188,24934,Shipped,2024-05-30 22:52:51 UTC,2024-06-02 04:17:00 UTC,,,14
143084,98433,78734,25198,Shipped,2024-05-31 00:10:00 UTC,2024-06-02 00:56:00 UTC,,,10
159971,110074,88000,15287,Shipped,2024-06-05 08:07:21 UTC,2024-06-03 07:43:00 UTC,,,31
159970,110074,88000,4971,Shipped,2024-06-03 08:03:17 UTC,2024-06-03 07:43:00 UTC,,,99
159969,110074,88000,8033,Shipped,2024-06-04 06:22:32 UTC,2024-06-03 07:43:00 UTC,,,19.989999771118164
104463,71874,57453,3103,Shipped,2024-06-05 02:09:04 UTC,2024-06-02 11:18:00 UTC,,,264
104464,71874,57453,5359,Shipped,2024-06-05 03:05:31 UTC,2024-06-02 11:18:00 UTC,,,25
56602,39010,31195,17505,Shipped,2024-05-31 16:13:39 UTC,2024-05-31 21:49:00 UTC,,,148.97999572753906
118995,81890,65533,10262,Shipped,2024-05-31 09:49:21 UTC,2024-06-02 13:08:00 UTC,,,25
118996,81890,65533,10651,Shipped,2024-06-03 09:12:31 UTC,2024-06-02 13:08:00 UTC,,,57.099998474121087
118997,81890,65533,11959,Shipped,2024-06-03 10:40:56 UTC,2024-06-02 13:08:00 UTC,,,34
62746,43220,34599,2611,Shipped,2024-06-01 23:07:21 UTC,2024-06-02 04:00:00 UTC,,,24.989999771118164
132602,91286,73056,21428,Shipped,2024-05-31 10:58:08 UTC,2024-06-02 04:00:00 UTC,,,198
62747,43220,34599,788,Shipped,2024-06-04 00:07:01 UTC,2024-06-02 04:00:00 UTC,,,89.989997863769531
90345,62155,49651,1457,Shipped,2024-05-31 11:12:51 UTC,2024-06-02 09:11:00 UTC,,,42
29785,20531,16367,22855,Shipped,2024-05-31 05:08:37 UTC,2024-06-02 21:59:00 UTC,,,59.9900016784668
131528,90528,72393,26358,Shipped,2024-06-01 15:30:45 UTC,2024-06-01 22:13:00 UTC,,,22
86116,59276,47356,16343,Shipped,2024-06-04 06:22:59 UTC,2024-06-02 15:17:00 UTC,,,27.950000762939453
86119,59276,47356,19610,Shipped,2024-05-31 09:15:21 UTC,2024-06-02 15:17:00 UTC,,,95
86117,59276,47356,24962,Shipped,2024-06-01 08:21:38 UTC,2024-06-02 15:17:00 UTC,,,14.989999771118164
86118,59276,47356,21214,Shipped,2024-06-01 08:21:58 UTC,2024-06-02 15:17:00 UTC,,,200
14294,9821,7748,4836,Shipped,2024-05-31 07:15:31 UTC,2024-06-01 19:47:00 UTC,,,110
12552,8624,6805,8689,Shipped,2024-06-01 09:14:36 UTC,2024-06-03 01:39:00 UTC,,,41.9900016784668
113012,77774,62174,9158,Shipped,2024-05-31 02:24:04 UTC,2024-06-01 09:44:00 UTC,,,17.950000762939453
113009,77774,62174,6635,Shipped,2024-06-02 00:31:30 UTC,2024-06-01 09:44:00 UTC,,,49.979999542236328
113010,77774,62174,15421,Shipped,2024-06-01 22:43:02 UTC,2024-06-01 09:44:00 UTC,,,18
113011,77774,62174,14116,Shipped,2024-06-03 01:45:32 UTC,2024-06-01 09:44:00 UTC,,,6.9899997711181641
116932,80464,64372,13305,Shipped,2024-06-05 15:24:30 UTC,2024-06-01 18:16:00 UTC,,,62.9099998474121
116934,80464,64372,15363,Shipped,2024-06-04 14:57:14 UTC,2024-06-01 18:16:00 UTC,,,65
116933,80464,64372,901,Shipped,2024-06-01 14:57:03 UTC,2024-06-01 18:16:00 UTC,,,120
40068,27525,21978,23437,Shipped,2024-06-01 10:44:17 UTC,2024-06-01 19:11:00 UTC,,,125
160966,110746,88540,27679,Shipped,2024-05-31 03:24:56 UTC,2024-06-02 20:47:00 UTC,,,25
29308,20207,16103,10338,Shipped,2024-05-31 07:55:19 UTC,2024-06-01 15:50:00 UTC,,,34.9900016784668
172061,118364,94735,14509,Shipped,2024-06-04 04:56:13 UTC,2024-06-01 12:29:00 UTC,,,39.5
172062,118364,94735,9154,Shipped,2024-06-03 03:43:49 UTC,2024-06-01 12:29:00 UTC,,,23
172063,118364,94735,2650,Shipped,2024-06-03 02:42:11 UTC,2024-06-01 12:29:00 UTC,,,18
172064,118364,94735,12783,Shipped,2024-06-04 04:01:13 UTC,2024-06-01 12:29:00 UTC,,,82
118233,81365,65105,14198,Shipped,2024-05-31 22:39:39 UTC,2024-06-03 00:27:00 UTC,,,23.950000762939453
180840,124436,99624,3060,Shipped,2024-05-31 21:17:04 UTC,2024-06-02 04:02:00 UTC,,,110
120022,82599,66097,11878,Shipped,2024-05-30 22:48:30 UTC,2024-06-01 07:37:00 UTC,,,42
153870,105872,84723,8108,Shipped,2024-05-31 23:52:49 UTC,2024-06-03 02:17:00 UTC,,,89.989997863769531
155117,106726,85398,16004,Shipped,2024-06-01 00:10:38 UTC,2024-06-03 07:47:00 UTC,,,29.5
44662,30657,24502,112,Shipped,2024-06-01 10:30:14 UTC,2024-06-03 16:19:00 UTC,,,17.5
23390,16101,12778,3596,Shipped,2024-05-31 13:24:03 UTC,2024-06-03 09:37:00 UTC,,,19.989999771118164
33753,23247,18544,19377,Shipped,2024-05-31 14:20:05 UTC,2024-06-03 00:29:00 UTC,,,204.94999694824216
159968,110073,88000,5631,Shipped,2024-06-01 07:58:32 UTC,2024-06-03 13:17:00 UTC,,,78.80999755859375
160798,110633,88459,14400,Shipped,2024-06-01 13:11:08 UTC,2024-06-03 01:24:00 UTC,,,24.979999542236328
68431,47163,37738,18300,Shipped,2024-05-31 02:31:35 UTC,2024-06-01 04:18:00 UTC,,,41.970001220703125
37514,25793,20603,14767,Shipped,2024-05-31 00:05:09 UTC,2024-06-01 23:12:00 UTC,,,58
156067,107376,85878,24352,Shipped,2024-06-01 10:36:32 UTC,2024-06-02 03:28:00 UTC,,,59.9900016784668
84043,57861,46242,10981,Shipped,2024-05-31 08:36:20 UTC,2024-06-03 05:59:00 UTC,,,22.5
47108,32372,25863,23481,Shipped,2024-05-31 08:53:51 UTC,2024-06-01 20:46:00 UTC,,,53.950000762939446
54292,37404,29901,10612,Shipped,2024-06-01 06:33:52 UTC,2024-06-02 01:57:00 UTC,,,34
64072,44133,35305,11954,Shipped,2024-06-01 05:51:21 UTC,2024-06-02 10:29:00 UTC,,,24.989999771118164
133275,91743,73436,28986,Shipped,2024-06-01 03:06:27 UTC,2024-06-02 05:37:00 UTC,,,24.989999771118164
56063,38643,30906,12591,Shipped,2024-05-31 07:54:48 UTC,2024-06-02 10:48:00 UTC,,,48.9900016784668
