location_id,location_name,address,city,state,zip_code,latitude,longitude
2702,"Jackson, Velazquez and Gonzales",3140 Heath Radial Apt. 604,Modesto,CA,94540,86.258020,-169.244800
4380,Bean LLC,51144 Patrick Isle Suite 397,Fontana,CA,92188,-74.4558925,-42.279882
7709,Gilbert-Simmons,4738 Lewis Locks,Roseville,CA,91032,-65.4309305,-64.763489
8607,Coleman-Robinson,324 Robin Causeway,Modesto,CA,93714,-64.281076,-77.669631
5499,Deleon Group,51725 Evans View,Roseville,CA,91849,18.4951575,-154.765780
4238,"Griffin, Huff and Smith",879 Brian Spurs,San Francisco,CA,94960,-69.134068,-124.891072
6967,Ward and Sons,289 Hill Parkways Apt. 605,San Jose,CA,90056,-43.6769855,-171.554256
1885,Valentine Inc,7431 Cathy Extension Apt. 898,Roseville,CA,91162,65.4482005,-93.526312
2794,Le PLC,22047 Duke Square,Fontana,CA,94978,-49.8497535,29.157714
9600,"Acosta, Jackson and Jones",192 Moore Loaf Apt. 675,Thousand Oaks,CA,93744,-19.554809,-133.738579
8705,Sanchez-Decker,61779 Peterson Burg Suite 645,Lancaster,CA,92678,-15.345559,-177.414130
6208,Bradley and Sons,21688 Diaz Springs Apt. 484,Los Angeles,CA,92343,-29.8344475,160.328659
1806,Martinez Ltd,008 Harris Street,Ontario,CA,95884,5.911535,-30.192918
3519,Woods-Clark,43038 Charles Ridge Suite 469,Chula Vista,CA,93770,56.6223625,-159.532569
9558,Castro-Larsen,71517 Thomas Walks Suite 368,Oakland,CA,91482,-87.3785205,-20.794578
8327,Martinez-Thompson,0745 Christopher Ramp Suite 862,Huntington Beach,CA,90227,-60.5082235,-59.861213
2248,Quinn LLC,996 Anthony Trail,Sunnyvale,CA,90295,44.364365,162.755285
7734,Bridges and Sons,248 Hamilton Plains,Orange,CA,90846,62.7701745,-127.354900
6001,Beard LLC,77372 Jermaine Extension Apt. 297,San Bernardino,CA,95172,-23.838415,138.344252
7651,"Mclean, Rice and Tucker",1552 Morton Road Suite 107,Fullerton,CA,90556,-28.834661,-56.827896
7115,Mcmahon Group,4190 Kimberly Isle,Oceanside,CA,95418,1.8465215,-16.557276
8549,Serrano LLC,584 Jennifer Points Suite 597,Sunnyvale,CA,93561,27.290993,165.672862
8134,Bush-Joseph,1696 Anna Grove,Elk Grove,CA,92994,34.619785,-94.470180
8317,"Moyer, Robinson and Hubbard",01944 Bond Wells,Orange,CA,90561,-11.261986,-104.920372
9005,"Kelly, Owens and Zhang",0161 Schaefer Harbor Apt. 027,Fullerton,CA,91896,-74.8406345,146.850049
6771,Orr-Price,2585 Spears Street Suite 621,San Diego,CA,91204,-55.841902,131.334248
6889,"Williams, Reyes and Brooks",3294 Melissa Pine Apt. 615,Chula Vista,CA,94417,-63.821952,135.639608
9810,"Price, Smith and Pierce",79626 Rogers Fort Suite 403,Santa Rosa,CA,94956,-43.387246,-159.333074
5804,"Watts, Brown and Johnson",91540 Humphrey River Apt. 853,Oceanside,CA,96019,79.7159825,-77.544122
8225,Wright-Martinez,272 Jeremy Landing,Oakland,CA,93860,76.773342,35.770710
2136,Grant-Miller,527 Stacey Row,Fresno,CA,93681,84.134112,-143.279322
3854,"Stephens, Mckee and Martinez",45378 Wells Ports Apt. 699,Concord,CA,92071,40.611904,1.012244
8590,"Ferrell, Hayes and Cook",4337 Matthew Shoal Apt. 181,Elk Grove,CA,95226,28.6228385,-16.136945
8573,Jefferson-Bryan,291 Tina Village Apt. 950,Elk Grove,CA,92188,0.8426615,-13.526388
3051,"Ramirez, Roberts and Watson",291 Brittany Spur,Orange,CA,94635,14.5033655,-109.508683
8866,"Crawford, Hale and Duran",8091 Michael Passage Apt. 572,Santa Rosa,CA,92686,-78.4167645,32.392472
9197,"Morgan, Kramer and Shaffer",1576 Michael Overpass Suite 450,Fontana,CA,94999,-21.047085,158.174522
7881,Mcmillan-Manning,63917 Berry Villages Apt. 922,Anaheim,CA,92082,-10.565833,37.400960
7654,"Johnson, Nelson and Guerrero",545 John Manors Apt. 589,Oxnard,CA,95395,52.8948145,114.823975
2546,Davis and Sons,499 Kelly Burgs,San Bernardino,CA,95602,-9.902929,-37.714221
7147,"Walters, Wilkerson and Strong",2108 Sanders Wells Apt. 090,Modesto,CA,94405,12.199033,-7.633164
9034,Brown Inc,6946 Donna Oval Apt. 582,Chula Vista,CA,94919,-1.695152,-30.465423
6131,"Edwards, Love and Grant",1395 Abigail Pike,Elk Grove,CA,90398,53.473748,118.864837
6436,Obrien Group,591 Jackson Street,Oceanside,CA,90411,58.4629995,-76.300638
9933,Rodgers Ltd,1785 Christine Tunnel,Elk Grove,CA,93708,-82.473457,-73.455852
2238,Cantrell-Bennett,1898 Hunt Ford Suite 541,Thousand Oaks,CA,96032,-36.444029,23.198213
